City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Ixtapa,MX,68.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
24,Kuito,AO,71.17,broken clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
29,Sao Filipe,CV,74.97,overcast clouds,14.8961,-24.4956,Tortuga B&B
31,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
32,Mar Del Plata,AR,70.0,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,Kaeo,NZ,68.0,clear sky,-35.1,173.7833,Bushido Lodge
60,Naze,JP,69.8,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
61,Hermanus,ZA,72.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
65,Rio Grande,BR,73.99,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
67,Altamira,BR,69.75,overcast clouds,-3.2033,-52.2064,Requinte Hotel
91,Airai,TL,69.66,overcast clouds,-8.9266,125.4092,Juvinal Martin
95,Tomatlan,MX,68.49,overcast clouds,19.9333,-105.25,Norma franco
107,Puerto Ayora,EC,73.99,light rain,-0.7393,-90.3518,Castillo Galapagos
127,Caravelas,BR,72.81,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
131,Sur,OM,69.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
152,Huarmey,PE,70.95,broken clouds,-10.0681,-78.1522,Hotel Miramar
156,Bichena,ET,67.57,overcast clouds,10.45,38.2,yichalal hotel
157,Morrope,PE,71.85,overcast clouds,-6.5417,-80.0111,Hipolito santamaria
158,Oros,BR,73.26,heavy intensity rain,-6.2444,-38.9136,Pousada Orós
173,Cidreira,BR,72.9,few clouds,-30.1811,-50.2056,Hotel Castelo
174,Alta Floresta,BR,73.4,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
182,Pisco,PE,69.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
189,Vila Velha,BR,72.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
195,Saldanha,ZA,69.8,broken clouds,-33.0117,17.9442,Blue Bay Lodge
200,Cururupu,BR,74.7,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
203,Itupiranga,BR,73.4,light rain,-5.1347,-49.3267,Hotel Panorama
204,Codrington,AU,67.39,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
207,Santo Antonio Do Leverger,BR,73.4,broken clouds,-15.8656,-56.0767,Chácara Do SINETRAN
213,La Cumbre,AR,69.8,scattered clouds,-30.982,-64.4914,Posada Summit Suites
222,Chuy,UY,67.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
225,Tura,IN,72.48,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
234,Arraial Do Cabo,BR,74.07,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
247,Seybaplaya,MX,71.58,clear sky,19.65,-90.6667,sala de fiesta san Rafael
248,Muisne,EC,73.76,light rain,0.6,-80.0333,Quinta Samay
250,Puerto Colombia,CO,73.4,clear sky,10.9878,-74.9547,Hotel El Emigrante
256,Bajitpur,BD,73.4,mist,24.2167,90.95,Bokultola
262,Hualmay,PE,70.52,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
267,Victoria,HK,73.99,broken clouds,22.2855,114.1577,Mini Hotel Central
273,Dano,BF,68.22,overcast clouds,11.15,-3.0667,Auberge Phenix32-Dano
279,Faya,SA,66.2,dust,18.3851,42.4509,مقبرة ال مجمل
294,Jieshi,CN,73.99,broken clouds,22.8134,115.8257,Yuehai Hotel
306,Ipora,BR,66.72,broken clouds,-16.4419,-51.1178,Oásis Motel
307,Santa Cruz,BO,73.4,broken clouds,-17.8,-63.1667,Hotel Cortez
316,Arlit,NE,66.36,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
332,Juntas,CR,71.4,overcast clouds,10.2809,-84.9595,Hotel Pueblo Antiguo Abangares and Hot Springs
333,Progreso,MX,70.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
