City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,64.99,62,100,18.01,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,14.0,62,75,23.02,broken clouds
2,Geraldton,AU,-28.7667,114.6,70.7,65,74,13.89,broken clouds
3,Pisco,PE,-13.7,-76.2167,75.2,69,0,19.57,clear sky
4,Kavaratti,IN,10.5669,72.642,80.94,77,8,12.06,clear sky
5,Port Alfred,ZA,-33.5906,26.891,64.0,92,80,13.58,broken clouds
6,Ushuaia,AR,-54.8,-68.3,48.2,81,75,4.61,broken clouds
7,Cape Town,ZA,-33.9258,18.4232,64.99,63,0,4.61,clear sky
8,Saint-Georges,GD,12.0564,-61.7485,78.8,78,20,8.05,few clouds
9,Kapit,MY,2.0167,112.9333,75.45,93,99,0.76,overcast clouds
10,Anchorage,US,61.2181,-149.9003,35.6,75,90,2.48,overcast clouds
11,Port-Gentil,GA,-0.7193,8.7815,80.6,89,40,4.61,light rain
12,Tomatlan,MX,19.9333,-105.25,79.54,59,91,5.68,overcast clouds
13,Carnarvon,AU,-24.8667,113.6333,73.4,73,90,14.97,overcast clouds
14,Vaini,TO,-21.2,-175.2,82.4,78,75,8.05,light rain
15,Georgetown,MY,5.4112,100.3354,78.8,89,20,3.44,few clouds
16,Rikitea,PF,-23.1203,-134.9692,80.4,69,48,9.84,scattered clouds
17,Kharan,PK,28.5833,65.4167,37.27,56,0,2.01,clear sky
18,Longyearbyen,SJ,78.2186,15.6401,15.8,62,0,14.97,clear sky
19,Svetlogorsk,BY,52.6333,29.7333,36.77,98,100,7.02,overcast clouds
20,Saskylakh,RU,71.9167,114.0833,-38.72,78,1,6.51,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,77.0,91,52,5.01,light rain
22,Raton,US,36.9034,-104.4391,36.0,69,90,4.61,overcast clouds
23,Busselton,AU,-33.65,115.3333,64.0,85,3,4.68,clear sky
24,Buraydah,SA,26.326,43.975,50.0,46,0,5.75,clear sky
25,Balkanabat,TM,39.5108,54.3671,36.03,70,0,5.57,clear sky
26,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,75,4.61,light rain
27,Goderich,CA,43.7501,-81.7165,24.8,86,100,8.05,overcast clouds
28,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,90,8.05,overcast clouds
29,Savinka,RU,50.0785,47.0994,28.53,99,70,13.82,broken clouds
30,Bluff,NZ,-46.6,168.3333,60.01,84,99,24.0,overcast clouds
31,Hatton,LK,6.8916,80.5955,56.37,100,100,1.81,overcast clouds
32,Hobart,AU,-42.8794,147.3294,91.0,25,0,10.36,clear sky
33,Arraial Do Cabo,BR,-22.9661,-42.0278,75.72,84,40,19.28,scattered clouds
34,Avarua,CK,-21.2078,-159.775,86.0,70,20,13.8,light rain
35,Kupang,ID,-10.1667,123.5833,75.2,100,75,3.44,broken clouds
36,Agnibilekrou,CI,7.1344,-3.2047,68.74,42,0,2.75,clear sky
37,Cidreira,BR,-30.1811,-50.2056,75.81,88,3,16.51,clear sky
38,Sobolevo,RU,54.4299,31.8996,36.32,98,100,15.35,light rain
39,Ahipara,NZ,-35.1667,173.1667,72.5,74,27,10.16,scattered clouds
40,Marquette,US,46.5333,-87.6335,21.99,69,49,8.88,scattered clouds
41,Singapore,SG,1.2897,103.8501,77.0,94,75,6.91,broken clouds
42,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.23,73,42,3.38,scattered clouds
43,Hermanus,ZA,-34.4187,19.2345,64.99,75,21,5.01,few clouds
44,Kalabo,ZM,-14.97,22.6814,66.22,95,93,4.83,moderate rain
45,Jieshi,CN,22.8134,115.8257,63.0,77,98,1.99,overcast clouds
46,Butaritari,KI,3.0707,172.7902,79.21,76,52,10.51,broken clouds
47,Santa Rosa,PH,14.3122,121.1114,82.0,89,20,2.3,few clouds
48,Ribeira Grande,PT,38.5167,-28.7,64.06,91,99,26.22,overcast clouds
49,Yellowknife,CA,62.456,-114.3525,-14.01,76,75,10.36,broken clouds
50,Curaca,BR,-8.9903,-39.9094,81.03,48,97,11.72,overcast clouds
51,Derzhavinsk,KZ,51.1,66.3167,8.98,94,100,19.13,light snow
52,Beloha,MG,-25.1667,45.05,75.25,90,28,8.95,scattered clouds
53,Necochea,AR,-38.5473,-58.7368,79.0,60,48,18.84,scattered clouds
54,Newport,GB,51.5877,-2.9984,36.0,94,54,1.01,broken clouds
