City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tecoanapa,16.5167,-98.75,77.45,77,100,6.13,MX,2021-01-11 00:39:06
1,Saint-Philippe,-21.3585,55.7679,77.0,88,75,3.44,RE,2021-01-11 00:39:06
2,Poum,-20.2333,164.0167,83.05,80,47,7.99,NC,2021-01-11 00:39:07
3,Asau,46.4333,26.4,32.0,100,90,5.75,RO,2021-01-11 00:39:07
4,Bac Lieu,9.285,105.7244,77.18,72,5,14.92,VN,2021-01-11 00:39:07
5,Diapaga,12.0708,1.7889,74.35,19,0,6.62,BF,2021-01-11 00:39:07
6,Harper,4.375,-7.7169,78.58,86,25,7.25,LR,2021-01-11 00:39:07
7,Florianopolis,-27.6146,-48.5012,78.8,83,40,9.22,BR,2021-01-11 00:39:08
8,Bethanien,-26.502,17.1583,74.1,48,100,3.76,NA,2021-01-11 00:39:08
9,Vaini,-21.2,-175.2,84.2,79,75,9.22,TO,2021-01-11 00:39:08
10,Zhigansk,66.7697,123.3711,-35.09,82,100,6.62,RU,2021-01-11 00:39:08
11,San Rafael Del Sur,11.8485,-86.4384,82.4,74,40,6.91,NI,2021-01-11 00:39:08
12,Kodiak,57.79,-152.4072,39.2,87,90,17.27,US,2021-01-11 00:39:09
13,Severo-Kurilsk,50.6789,156.125,20.77,89,97,19.8,RU,2021-01-11 00:39:09
14,West Wendover,40.7391,-114.0733,33.8,60,90,1.14,US,2021-01-11 00:34:39
15,Punta Arenas,-53.15,-70.9167,48.2,66,90,12.66,CL,2021-01-11 00:39:09
16,Bambous Virieux,-20.3428,57.7575,78.8,94,75,3.44,MU,2021-01-11 00:39:10
17,Atuona,-9.8,-139.0333,77.74,80,100,13.82,PF,2021-01-11 00:39:10
18,Norman Wells,65.282,-126.8329,6.8,92,75,3.44,CA,2021-01-11 00:39:10
19,Hilo,19.7297,-155.09,80.6,57,1,10.36,US,2021-01-11 00:39:10
20,Baghdad,33.3406,44.4009,42.8,56,0,6.91,IQ,2021-01-11 00:38:54
21,Rikitea,-23.1203,-134.9692,78.35,78,38,16.4,PF,2021-01-11 00:39:11
22,Trussville,33.6198,-86.6089,39.99,69,74,1.43,US,2021-01-11 00:39:11
23,Nishihara,26.1842,127.7558,60.8,67,75,6.91,JP,2021-01-11 00:39:11
24,Shingu,33.7333,135.9833,37.4,65,75,6.91,JP,2021-01-11 00:39:11
25,Ushuaia,-54.8,-68.3,42.8,75,40,19.57,AR,2021-01-11 00:36:30
26,Riohacha,11.5444,-72.9072,79.65,75,47,13.29,CO,2021-01-11 00:39:12
27,Tiksi,71.6872,128.8694,-20.56,85,100,17.34,RU,2021-01-11 00:39:12
28,Albany,42.6001,-73.9662,23.0,74,96,3.2,US,2021-01-11 00:35:06
29,Girne,35.3417,33.3167,48.2,81,0,4.61,CY,2021-01-11 00:39:12
30,Rawson,-43.3002,-65.1023,66.47,26,100,17.96,AR,2021-01-11 00:39:13
31,Touros,-5.1989,-35.4608,80.6,74,40,11.5,BR,2021-01-11 00:39:13
32,Thompson,55.7435,-97.8558,10.4,85,20,3.44,CA,2021-01-11 00:39:13
33,Saint George,37.1041,-113.5841,48.2,27,1,4.61,US,2021-01-11 00:38:57
34,Yongan,39.6957,113.6871,4.32,83,79,9.08,CN,2021-01-11 00:39:14
35,Keti Bandar,24.1447,67.4497,56.77,36,0,12.44,PK,2021-01-11 00:39:14
36,Ilam,26.9167,87.9167,50.16,69,29,4.29,NP,2021-01-11 00:39:14
37,Cape Town,-33.9258,18.4232,66.99,68,0,8.05,ZA,2021-01-11 00:36:20
38,Kushima,31.4583,131.2333,37.4,70,75,8.05,JP,2021-01-11 00:39:14
39,Jamestown,42.097,-79.2353,28.4,86,1,3.44,US,2021-01-11 00:39:15
40,Mount Isa,-20.7333,139.5,87.8,48,0,6.91,AU,2021-01-11 00:39:15
41,Ponta Do Sol,32.6667,-17.1,53.01,70,3,5.01,PT,2021-01-11 00:39:15
42,Pevek,69.7008,170.3133,-26.73,87,100,3.56,RU,2021-01-11 00:39:15
43,Filingue,14.3521,3.3168,73.96,19,0,8.43,NE,2021-01-11 00:39:16
44,Olafsvik,64.8945,-23.7142,25.81,89,0,18.95,IS,2021-01-11 00:39:16
45,Krasnyy Chikoy,50.3643,108.7512,-8.63,85,97,3.49,RU,2021-01-11 00:39:16
